ScoreCoefed,ScoreMoyenneG,ScoreUn,Precipitation,Date
34.64645419,37.687979,0.3376733898,83.40,2010-08
34.66036904,35.83462257,0.3038769301,54.80,2010-09
28.37608396,32.56096906,0.2441809662,63.40,2010-10
28.13483263,30.39042854,0.2046005682,45.60,2010-11
27.16638699,27.89243453,0.1590489665,87.40,2010-12
28.32972032,27.87697998,0.1587671487,75.70,2011-01
28.93972032,28.14527588,0.1636595975,70.40,2011-02
28.42063986,28.56336017,0.1712834785,65.20,2011-03
28.17846095,28.51294038,0.1703640599,65.60,2011-04
40.64362837,32.41424306,0.2415053775,10.80,2011-05
37.70915019,35.51041317,0.2979648833,6.40,2011-06
36.55278616,38.30185491,0.3488675841,152.60,2011-07
39.04415019,37.76869551,0.3391452773,123.40,2011-08
34.34749113,36.64814249,0.3187116876,152.20,2011-09
35.93829588,36.4433124,0.314976555,101.40,2011-10
35.4003264,35.22870447,0.2928278484,57.00,2011-11
36.70563948,36.01475392,0.3071616743,113.00,2011-12
34.66018493,35.58871694,0.2993927738,238.00,2012-01
37.16018493,36.17533645,0.3100899405,74.60,2012-02
36.33326186,36.05121057,0.3078264713,15.80,2012-03
37.41300979,36.96881886,0.3245593085,31.80,2012-04
36.76835801,36.83820989,0.3221776183,143.00,2012-05
37.99823082,37.39319954,0.3322980059,169.40,2012-06
35.79209689,36.85289524,0.3224454097,198.20,2012-07
40.64008068,38.14346946,0.3459793824,123.80,2012-08
39.37081864,38.60099873,0.3543225534,11.40,2012-09
47.84664135,42.61918022,0.4275951879,123.60,2012-10
45.6162149,44.27789163,0.4578422425,148.20,2012-11
48.27668307,47.24651311,0.5119758642,56.40,2012-12
48.83877458,47.57722418,0.5180064708,101.00,2013-01
48.33877458,48.48474408,0.5345553433,50.00,2013-02
48.58183013,48.58645976,0.5364101566,46.60,2013-03
49.35159509,48.75739993,0.5395272972,35.80,2013-04
49.95683013,49.29675179,0.5493625252,32.00,2013-05
40.35348046,46.55396856,0.4993471256,90.60,2013-06
40.80530235,43.70520432,0.4473991332,88.80,2013-07
41.46169124,40.87349135,0.3957620756,35.00,2013-08
40.99876484,41.08858615,0.3996843878,40.20,2013-09
41.33664422,41.2657001,0.402914109,125.60,2013-10
40.69428311,41.00989739,0.3982494768,49.60,2013-11
39.93039422,40.65377385,0.391755467,94.00,2013-12
39.93039422,40.18502385,0.383207683,50.80,2014-01
39.93039422,39.93039422,0.3785644423,56.80,2014-02
41.16538716,40.34205853,0.3860712533,56.00,2014-03
40.44722114,40.51433417,0.3892127465,17.00,2014-04
41.34617812,40.98626214,0.3978184816,69.80,2014-05
39.24065063,40.3446833,0.3861191166,86.40,2014-06
40.07280241,40.21987705,0.3838432407,60.40,2014-07
40.3991607,39.90420458,0.3780868671,96.80,2014-08
39.58753365,40.01983225,0.3801953693,103.20,2014-09
38.94170032,39.64279822,0.3733200509,9.00,2014-10
38.08753365,38.87225587,0.3592690012,51.20,2014-11
37.08753365,38.03892254,0.3440729408,57.00,2014-12
38.58753365,37.92086698,0.3419201655,69.60,2015-01
39.35420032,38.34308921,0.3496195028,35.20,2015-02
40.1039987,39.34857756,0.3679548569,41.60,2015-03
39.16045032,39.53954978,0.3714372875,27.60,2015-04
39.07000145,39.44481682,0.3697098062,51.60,2015-05
41.23061973,39.82035717,0.3765578867,42.80,2015-06
40.1910135,40.16387823,0.3828220869,8.00,2015-07
39.38531247,40.2689819,0.384738681,17.20,2015-08
41.38526655,40.32053084,0.38567869,79.20,2015-09
35.24239449,38.67099117,0.3555988845,94.40,2015-10
41.28013834,39.30259979,0.3671164399,54.80,2015-11
40.15193321,38.89148868,0.3596197167,54.60,2015-12
42.33784871,41.25664009,0.4027488972,23.40,2016-01
41.5834147,41.35773221,0.4045923395,59.00,2016-02
40.99479036,41.63868459,0.4097155828,52.00,2016-03
41.63666108,41.40495538,0.4054534669,85.40,2016-04
41.91193321,41.51446155,0.4074503418,54.60,2016-05
41.71287661,41.75382363,0.4118151747,143.80,2016-06
41.72045874,41.78175619,0.4123245324,68.80,2016-07
43.05381156,42.1623823,0.4192653533,18.40,2016-08
41.4081265,42.06079893,0.4174129529,19.20,2016-09
41.95169959,42.13787922,0.4188185329,34.60,2016-10
42.01863266,41.79281958,0.4125262764,18.80,2016-11
42.87594201,42.28209142,0.4214482817,67.60,2016-12
